,id,sex,generation
DO-3,DO-3,M,30
DO-8,DO-8,M,30
DO-12,DO-12,M,30
DO-13,DO-13,M,30
DO-15,DO-15,M,30
DO-18,DO-18,M,30
DO-19,DO-19,M,30
DO-21,DO-21,M,30
DO-22,DO-22,M,30
DO-23,DO-23,M,30
DO-24,DO-24,M,30
DO-25,DO-25,M,30
DO-28,DO-28,M,30
DO-30,DO-30,M,30
DO-38,DO-38,M,30
DO-45,DO-45,M,30
DO-46,DO-46,M,30
DO-47,DO-47,M,30
DO-49,DO-49,F,30
DO-51,DO-51,F,30
DO-52,DO-52,F,30
DO-53,DO-53,F,30
DO-54,DO-54,F,30
DO-55,DO-55,F,30
DO-56,DO-56,F,30
DO-59,DO-59,F,30
DO-63,DO-63,F,30
DO-65,DO-65,F,30
DO-66,DO-66,F,30
DO-67,DO-67,F,30
DO-68,DO-68,F,30
DO-70,DO-70,F,30
DO-71,DO-71,F,30
DO-72,DO-72,F,30
DO-73,DO-73,F,30
DO-75,DO-75,F,30
DO-78,DO-78,F,30
DO-79,DO-79,F,30
DO-80,DO-80,F,30
DO-84,DO-84,F,30
DO-89,DO-89,F,30
DO-90,DO-90,F,30
DO-92,DO-92,F,30
DO-93,DO-93,F,30
DO-94,DO-94,F,30
DO-95,DO-95,F,30
DO-97,DO-97,F,30
DO-98,DO-98,F,30
DO-1,DO-1,M,30
DO-2,DO-2,M,30
DO-4,DO-4,M,30
DO-9,DO-9,M,30
DO-17,DO-17,M,30
DO-27,DO-27,M,30
DO-32,DO-32,M,30
DO-33,DO-33,M,30
DO-34,DO-34,M,30
DO-36,DO-36,M,30
DO-41,DO-41,M,30
DO-42,DO-42,M,30
DO-50,DO-50,F,30
DO-57,DO-57,F,30
DO-62,DO-62,F,30
DO-74,DO-74,F,30
DO-76,DO-76,F,30
DO-77,DO-77,F,30
DO-81,DO-81,F,30
DO-83,DO-83,F,30
DO-85,DO-85,F,30
DO-87,DO-87,F,30
DO-91,DO-91,F,30
DO-5,DO-5,M,30
DO-6,DO-6,M,30
DO-7,DO-7,M,30
DO-10,DO-10,M,30
DO-11,DO-11,M,30
DO-14,DO-14,M,30
DO-16,DO-16,M,30
DO-20,DO-20,M,30
DO-29,DO-29,M,30
DO-31,DO-31,M,30
DO-35,DO-35,M,30
DO-39,DO-39,M,30
DO-44,DO-44,M,30
DO-48,DO-48,M,30
DO-60,DO-60,F,30
DO-61,DO-61,F,30
DO-64,DO-64,F,30
DO-69,DO-69,F,30
DO-82,DO-82,F,30
DO-86,DO-86,F,30
DO-88,DO-88,F,30
DO-96,DO-96,F,30
101,101,M,32
103,103,M,32
104,104,M,32
107,107,M,32
109,109,M,32
111,111,M,32
114,114,M,32
115,115,M,32
116,116,M,32
117,117,M,32
118,118,M,32
121,121,M,32
123,123,M,32
125,125,M,32
126,126,M,32
128,128,M,32
129,129,M,32
130,130,M,32
131,131,M,32
133,133,M,32
134,134,M,32
136,136,M,32
137,137,M,32
140,140,M,32
141,141,M,32
142,142,M,32
143,143,M,32
144,144,M,32
145,145,M,32
148,148,M,32
149,149,M,32
150,150,M,32
151,151,M,32
155,155,M,32
156,156,M,32
157,157,M,32
158,158,M,32
159,159,M,32
160,160,M,32
163,163,F,32
164,164,F,32
165,165,F,32
166,166,F,32
168,168,F,32
169,169,F,32
171,171,F,32
172,172,F,32
173,173,F,32
174,174,F,32
175,175,F,32
178,178,F,32
179,179,F,32
180,180,F,32
181,181,F,32
182,182,F,32
184,184,F,32
185,185,F,32
186,186,F,32
187,187,F,32
188,188,F,32
189,189,F,32
192,192,F,32
193,193,F,32
194,194,F,32
195,195,F,32
196,196,F,32
198,198,F,32
199,199,F,32
200,200,F,32
201,201,F,32
202,202,F,32
204,204,F,32
205,205,F,32
206,206,F,32
207,207,F,32
208,208,F,32
209,209,F,32
211,211,F,32
212,212,F,32
214,214,F,32
215,215,F,32
216,216,F,32
217,217,F,32
218,218,F,32
219,219,F,32
220,220,F,32
99,99,M,32
102,102,M,32
105,105,M,32
110,110,M,32
113,113,M,32
124,124,M,32
127,127,M,32
132,132,M,32
135,135,M,32
138,138,M,32
139,139,M,32
146,146,M,32
147,147,M,32
152,152,M,32
153,153,M,32
154,154,M,32
161,161,F,32
167,167,F,32
170,170,F,32
177,177,F,32
183,183,F,32
190,190,F,32
203,203,F,32
213,213,F,32
106,106,M,32
119,119,M,32
122,122,M,32
162,162,F,32
176,176,F,32
197,197,F,32
210,210,F,32
221,221,M,35
222,222,M,35
223,223,M,35
224,224,M,35
225,225,M,35
226,226,M,35
227,227,M,35
228,228,M,35
229,229,M,35
230,230,M,35
231,231,M,35
232,232,M,35
233,233,M,35
235,235,M,35
237,237,M,35
238,238,M,35
239,239,M,35
240,240,M,35
241,241,M,35
243,243,M,35
244,244,M,35
245,245,M,35
246,246,M,35
247,247,M,35
248,248,M,35
249,249,M,35
250,250,M,35
251,251,M,35
252,252,M,35
253,253,M,35
254,254,M,35
255,255,M,35
256,256,M,35
257,257,M,35
258,258,M,35
259,259,M,35
261,261,M,35
262,262,M,35
263,263,M,35
264,264,M,35
265,265,M,35
267,267,M,35
268,268,M,35
269,269,M,35
270,270,M,35
271,271,M,35
272,272,M,35
273,273,M,35
274,274,M,35
275,275,M,35
276,276,M,35
278,278,M,35
279,279,M,35
281,281,M,35
282,282,M,35
283,283,M,35
284,284,M,35
285,285,M,35
286,286,M,35
288,288,M,35
289,289,M,35
291,291,M,35
292,292,M,35
293,293,M,35
294,294,M,35
295,295,M,35
296,296,F,35
297,297,F,35
298,298,F,35
299,299,F,35
300,300,F,35
301,301,F,35
302,302,F,35
303,303,F,35
304,304,F,35
305,305,F,35
306,306,F,35
308,308,F,35
309,309,F,35
310,310,F,35
312,312,F,35
313,313,F,35
314,314,F,35
316,316,F,35
317,317,F,35
318,318,F,35
319,319,F,35
320,320,F,35
321,321,F,35
322,322,F,35
323,323,F,35
324,324,F,35
325,325,F,35
326,326,F,35
328,328,F,35
329,329,F,35
330,330,F,35
331,331,F,35
332,332,F,35
333,333,F,35
334,334,F,35
335,335,F,35
336,336,F,35
337,337,F,35
338,338,F,35
339,339,F,35
340,340,F,35
341,341,F,35
342,342,F,35
343,343,F,35
344,344,F,35
345,345,F,35
346,346,F,35
347,347,F,35
348,348,F,35
349,349,F,35
350,350,F,35
351,351,F,35
352,352,F,35
353,353,F,35
354,354,F,35
355,355,F,35
