id,Liver_GSH,Liver_GSSG,Liver_Total_GSH,Liver_GSH_GSSG_Ratio,Liver_Redox_Potential_GSSG_2GSH,Liver_NADH,Liver_NADP,Liver_NADPH,Liver_NADP_NADPH_Ratio,sex,generation
DO-1,46.189,0.441,47.071,104.688,-201.549,NA,NA,0.604,NA,M,30
DO-2,60.649,0.526,61.701,115.305,-206.517,3.066,NA,0.609,NA,M,30
DO-3,109.341,1.121,111.584,97.5,-212.193,NA,NA,0.642,NA,M,30
DO-4,83.233,0.71,84.653,117.201,-210.998,NA,NA,0.647,NA,M,30
DO-5,30.433,0.509,31.451,59.798,-188.393,NA,NA,0.766,NA,M,30
DO-6,54.483,0.575,55.632,94.831,-202.441,3.516,NA,0.374,NA,M,30
DO-7,43.243,0.451,44.145,95.786,-199.466,NA,NA,0.606,NA,M,30
DO-8,38.471,0.495,39.461,77.696,-195.073,NA,NA,0.649,NA,M,30
DO-9,44.49,0.646,45.782,68.878,-195.409,NA,NA,0.547,NA,M,30
DO-10,63.417,0.635,64.686,99.94,-205.192,NA,0.451,0.159,2.835,M,30
DO-11,97.954,1.313,100.58,74.61,-207.11,NA,NA,0.786,NA,M,30
DO-12,73.065,0.853,74.772,85.642,-205.02,NA,NA,0.608,NA,M,30
DO-13,37.024,0.485,37.995,76.275,-194.309,NA,NA,0.396,NA,M,30
DO-14,113.359,1.937,117.232,58.53,-205.809,NA,NA,0.501,NA,M,30
DO-15,43.777,0.623,45.024,70.228,-195.453,4.564,NA,0.72,NA,M,30
DO-16,56.383,1.139,58.661,49.507,-194.152,NA,0.552,0.436,1.267,M,30
DO-17,31.545,0.501,32.546,63.018,-189.582,NA,NA,0.777,NA,M,30
DO-18,64.133,1.388,66.909,46.196,-194.954,NA,NA,0.238,NA,M,30
DO-19,94.55,0.997,96.544,94.805,-209.859,3.906,0.924,0.516,1.792,M,30
DO-20,40.377,0.517,41.411,78.071,-195.789,2.838,0.575,0.424,1.356,M,30
DO-21,41.869,0.429,42.728,97.55,-199.277,3.009,0.829,0.433,1.914,M,30
DO-22,100.066,2.059,104.184,48.607,-201.629,3.531,0.334,0.67,0.499,M,30
DO-23,71.729,1.098,73.924,65.348,-201.131,2.732,0.46,0.456,1.007,M,30
DO-24,80.849,0.918,82.685,88.041,-206.755,2.523,0.463,0.223,2.082,M,30
DO-25,61.53,0.734,62.999,83.788,-202.412,1.954,0.801,0.276,2.906,M,30
DO-27,68.346,1.47,71.286,46.492,-195.897,2.307,0.724,0.334,2.167,M,30
DO-28,99.552,1.097,101.746,90.745,-209.964,2.363,0.525,0.488,1.075,M,30
DO-29,66.534,0.603,67.739,110.391,-207.177,2.866,0.636,0.263,2.42,M,30
DO-30,19.669,0.213,20.094,92.445,-188.381,3.168,0.53,0.359,1.477,M,30
DO-31,73.372,1.662,76.696,44.151,-196.157,2.25,0.641,0.403,1.59,M,30
DO-32,42.164,0.809,43.781,52.134,-190.936,3.106,0.417,0.609,0.685,M,30
DO-33,94.989,1.854,98.696,51.248,-201.64,3.333,0.399,0.469,0.851,M,30
DO-34,18.045,0.239,18.523,75.506,-184.496,3.829,0.579,0.405,1.429,M,30
DO-35,59.811,1.21,62.232,49.413,-194.921,2.635,0.666,0.337,1.972,M,30
DO-36,33.472,0.575,34.621,58.251,-189.321,2.433,0.421,0.527,0.798,M,30
DO-38,9.843,0.17,10.183,57.836,-172.747,2.255,0.814,0.333,2.445,M,30
DO-39,52.436,0.632,53.7,82.948,-200.123,1.409,0.502,0.295,1.701,M,30
DO-41,33.992,0.74,35.472,45.929,-186.329,1.696,0.469,0.31,1.514,M,30
DO-42,74.136,1.693,77.522,43.784,-196.184,1.61,0.507,0.288,1.76,M,30
DO-44,41.694,0.674,43.043,61.841,-193.084,1.927,0.551,0.23,2.392,M,30
DO-45,57.554,0.595,58.744,96.683,-203.44,0.653,0.401,0.271,1.484,M,30
DO-46,39.251,1.018,41.288,38.543,-185.906,1.96,0.548,0.236,2.32,M,30
DO-47,58.81,0.982,60.774,59.864,-197.277,1.407,0.435,0.401,1.087,M,30
DO-48,67.772,1.141,70.053,59.407,-199.083,1.554,0.429,0.354,1.213,M,30
DO-49,65.096,0.754,66.603,86.383,-203.581,1.581,0.794,0.151,5.245,F,30
